code,description,category
44219090,Other articles of wood not elsewhere specified or included including woodcraft and handicrafts,Wood crafts
44219010,Articles of wood for domestic or ornamental use,Wood crafts
57011010,Carpets and other textile floor coverings of wool or fine animal hair hand-knotted,Carpets & rugs
57021010,Carpets and other textile floor coverings of coir,Carpets & rugs
57024900,Carpets and other textile floor coverings of other textile materials,Carpets & rugs
58011000,Woven pile fabrics and chenille fabrics of wool or fine animal hair,Textile fabrics
58012100,Uncut weft pile fabrics of cotton,Textile fabrics
58019000,Woven pile fabrics of other textile materials,Textile fabrics
61091000,T-shirts singlets and other vests of cotton,Apparel
61044200,Dresses of cotton for women or girls,Apparel
61044300,Dresses of synthetic fibres for women or girls,Apparel
62044200,Dresses of cotton not knitted for women or girls,Apparel
62044300,Dresses of synthetic fibres not knitted,Apparel
63012000,Blankets and travelling rugs of wool or fine animal hair,Home textiles
63014000,Blankets and travelling rugs of synthetic fibres,Home textiles
63021000,Bed linen knitted or crocheted,Home textiles
63022100,Bed linen of cotton printed,Home textiles
63025100,Table linen of cotton,Home textiles
63026000,Toilet linen and kitchen linen of terry towelling,Home textiles
63049200,Other furnishing articles not knitted of cotton,Home textiles
63049300,Other furnishing articles not knitted of synthetic fibres,Home textiles
69120029,Other ceramic household articles,Pottery & ceramics
69111000,Tableware and kitchenware of porcelain or china,Pottery & ceramics
69120010,Ceramic household articles other than porcelain,Pottery & ceramics
69130000,Statuettes and other ornamental ceramic articles,Pottery & ceramics
69149000,Other ceramic articles including blue pottery,Pottery & ceramics
70134900,Other drinking glasses of glass not lead crystal,Glasswork
70139900,Other glassware for table kitchen toilet office indoor decoration,Glasswork
71171900,Other imitation jewellery of base metal,Jewellery
71179000,Other imitation jewellery,Jewellery
71131100,Articles of jewellery of silver,Jewellery
71131900,Articles of jewellery of other precious metals,Jewellery
97010000,Paintings drawings and pastels executed entirely by hand,Fine art
97030000,Original sculptures and statuary in any material,Sculpture
97060000,Antiques of an age exceeding one hundred years,Antiques
46019900,Other plaiting materials including mats and matting of vegetable materials,Cane & bamboo
46021000,Basketwork wickerwork and other articles of vegetable materials,Cane & bamboo
46029000,Other basket work of other materials,Cane & bamboo
43040000,Artificial fur and articles thereof,Shawls & fur
61011000,Overcoats car-coats cloaks and similar articles of wool,Woollen garments
61012000,Overcoats of cotton,Woollen garments
62011100,Overcoats and similar articles of wool not knitted,Woollen garments
58090000,Woven fabrics of metal thread and woven fabrics of metallised yarn,Zari & metallic
58101000,Embroidery without visible ground,Embroidery
58102100,Embroidery of cotton of value exceeding 12 dollars per kg,Embroidery
58109100,Other embroidery of cotton,Embroidery
58109200,Other embroidery of man-made fibres including Chikankari Phulkari Zardozi,Embroidery
50072000,Woven fabrics containing 85% or more by weight of silk,Silk
50079000,Other woven fabrics of silk,Silk
52081100,Plain weave cotton fabric 85% or more by weight weighing not more than 100g,Cotton fabric
52082100,Plain weave cotton fabric 85% weighing more than 100g,Cotton fabric
54071000,Woven fabrics of high tenacity yarn of nylon or polyamides,Synthetic fabric
61051000,Men's shirts of cotton,Garments
61052000,Men's shirts of man-made fibres,Garments
62052000,Men's shirts not knitted of cotton,Garments
62041200,Women's suits of cotton,Garments
57033000,Carpets of man-made textile materials tufted,Carpets & rugs
57050000,Other carpets and other textile floor coverings whether or not made up,Carpets & rugs
68029990,Other worked monumental or building stone and articles thereof,Stone craft
68061000,Slag wool rock wool and similar mineral wools,Stone craft
74199940,Other articles of copper including bidri work,Metal craft
83062990,Other statuettes and other ornaments of base metal including brass craft,Metal craft
83069000,Photograph picture and similar frames and mirrors of base metal,Metal craft
44140000,Wooden frames for paintings photographs mirrors or similar objects,Wooden frames
44151000,Cases boxes crates drums and similar packings of wood,Wood products
94016900,Other seats with wooden frames,Wooden furniture
94038900,Other furniture of other materials,Furniture
91052900,Other wall clocks,Clocks
49111000,Trade advertising material commercial catalogues and the like,Paper crafts
48194000,Sacks and bags of paper or paperboard including papier-mache,Paper crafts
61169200,Gloves mittens and mitts of cotton,Accessories
61169900,Gloves mittens and mitts of other textile materials,Accessories
65050000,Hats and other headgear knitted or crocheted,Accessories
65069900,Other headgear whether or not lined or trimmed,Accessories
42021200,Trunks suit-cases with outer surface of plastics or textile materials,Bags
42022200,Handbags with outer surface of textile materials,Bags
42023200,Articles of a kind normally carried in pocket or handbag,Bags
64051000,Other footwear with uppers of textile materials,Footwear
64059000,Other footwear,Footwear
